"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@TheRealEveret","@Robot_Watch_",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@AxelPax",1,2
"https://www.altmetric.com/details/12125570","@theNASEM","@drlynngoldman",1,1
"https://www.altmetric.com/details/12125570","@travton","@mrspanstreppon",1,1
"https://www.altmetric.com/details/12125570","@animaeme","@animaeme",1,0
"https://www.altmetric.com/details/12125570","@pkedrosky","@rippersid",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@CptSnek",1,1
"https://www.altmetric.com/details/12125570","@akaDSN","@Dovewoman1",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@VicLovesAnimals",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@5mutmeg",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@jackox48",1,1
"https://www.altmetric.com/details/12125570","@vixy","@ysabet_m",2,1
"https://www.altmetric.com/details/12125570","@theNASciences","@StoneLab_ASU",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@RULO9871",1,2
"https://www.altmetric.com/details/12125570","@pkedrosky","@saithier",1,1
